************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    20
engine_to_start      30
steps                502
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
0_0       	855ms             	819ms             	532902ms          	575724ms          	413672ms            	|0.820000          	0.900000          	0.960000          	0.980000          	0.960000            	|7                 	5                 	2                 	6                 	5                   	|0.820000          	0.340000          	0.080000          	0.120000          	0.160000            	|23.700000         	24.060000         	21.400000         	22.500000         	22.120000           	|1590.000000       	802.000000        	113.333333        	-50.000000        	137.333333          	|
0_1       	2118ms            	743ms             	442431ms          	452807ms          	394377ms            	|0.800000          	0.800000          	0.940000          	0.920000          	0.940000            	|7                 	8                 	6                 	6                 	6                   	|0.740000          	0.980000          	0.260000          	0.380000          	0.180000            	|22.360000         	23.360000         	21.660000         	21.560000         	22.100000           	|1745.333333       	1778.666667       	322.000000        	518.666667        	336.666667          	|
0_2       	879ms             	821ms             	381779ms          	389035ms          	380604ms            	|0.800000          	0.820000          	0.940000          	0.900000          	0.900000            	|9                 	8                 	6                 	7                 	9                   	|0.940000          	0.640000          	0.200000          	0.460000          	0.380000            	|22.660000         	22.640000         	20.520000         	21.740000         	21.220000           	|1755.333333       	1554.666667       	284.000000        	724.666667        	707.333333          	|
0_3       	805ms             	864ms             	311634ms          	328215ms          	272120ms            	|0.760000          	0.760000          	0.900000          	0.900000          	0.860000            	|9                 	10                	7                 	9                 	8                   	|1.240000          	1.260000          	0.480000          	0.580000          	0.640000            	|23.800000         	24.320000         	22.420000         	23.080000         	22.600000           	|2193.333333       	2210.666667       	747.333333        	769.333333        	1153.333333         	|
0_4       	872ms             	966ms             	346178ms          	368555ms          	285572ms            	|0.720000          	0.800000          	0.920000          	0.880000          	0.900000            	|10                	11                	8                 	10                	7                   	|1.380000          	1.160000          	0.420000          	0.880000          	0.400000            	|25.140000         	25.640000         	22.420000         	23.080000         	22.640000           	|2638.000000       	1854.666667       	547.333333        	969.333333        	754.666667          	|
0_5       	1042ms            	935ms             	385382ms          	402609ms          	313154ms            	|0.820000          	0.840000          	0.960000          	0.940000          	0.980000            	|12                	11                	7                 	6                 	6                   	|1.120000          	1.020000          	0.160000          	0.160000          	0.120000            	|23.500000         	24.920000         	22.440000         	22.120000         	22.640000           	|1583.333333       	1430.666667       	148.000000        	337.333333        	-45.333333          	|
0_6       	1091ms            	1891ms            	314647ms          	325844ms          	290622ms            	|0.720000          	0.780000          	0.860000          	0.860000          	0.880000            	|12                	13                	10                	11                	8                   	|1.680000          	1.240000          	0.880000          	0.840000          	0.520000            	|24.280000         	25.100000         	23.340000         	22.680000         	22.460000           	|2609.333333       	2036.666667       	1178.000000       	1156.000000       	948.666667          	|
0_7       	927ms             	1692ms            	287933ms          	302509ms          	266681ms            	|0.800000          	0.820000          	0.940000          	0.940000          	0.920000            	|10                	12                	9                 	10                	9                   	|1.100000          	0.940000          	0.400000          	0.340000          	0.440000            	|23.220000         	24.100000         	22.100000         	21.760000         	22.500000           	|1774.000000       	1603.333333       	336.666667        	325.333333        	550.000000          	|
0_8       	950ms             	1535ms            	287815ms          	309232ms          	258071ms            	|0.700000          	0.720000          	0.860000          	0.840000          	0.860000            	|12                	12                	8                 	12                	12                  	|1.860000          	1.540000          	0.720000          	1.040000          	1.000000            	|26.300000         	28.160000         	25.440000         	24.860000         	24.320000           	|2876.666667       	2738.666667       	1248.000000       	1428.666667       	1210.666667         	|
0_9       	991ms             	1283ms            	340228ms          	351667ms          	294447ms            	|0.820000          	0.760000          	0.920000          	0.940000          	0.940000            	|10                	9                 	5                 	4                 	8                   	|1.000000          	1.280000          	0.280000          	0.180000          	0.280000            	|22.740000         	23.080000         	21.540000         	21.080000         	22.380000           	|1558.000000       	2169.333333       	518.000000        	302.666667        	346.000000          	|
0_10      	1083ms            	1201ms            	328342ms          	327829ms          	286667ms            	|0.800000          	0.900000          	0.960000          	0.940000          	0.960000            	|8                 	4                 	8                 	8                 	7                   	|0.620000          	0.240000          	0.220000          	0.240000          	0.180000            	|23.040000         	23.920000         	21.960000         	21.920000         	21.940000           	|1768.000000       	797.333333        	132.000000        	330.666667        	131.333333          	|
0_11      	1057ms            	1013ms            	303323ms          	329454ms          	257068ms            	|0.780000          	0.840000          	0.900000          	0.900000          	0.900000            	|13                	11                	11                	12                	11                  	|1.500000          	1.000000          	0.540000          	0.800000          	0.880000            	|24.560000         	24.420000         	23.600000         	23.620000         	23.400000           	|2018.666667       	1414.000000       	786.666667        	787.333333        	780.000000          	|
0_12      	1177ms            	1064ms            	299248ms          	316107ms          	272624ms            	|0.860000          	0.800000          	0.960000          	0.960000          	0.960000            	|10                	8                 	6                 	4                 	1                   	|0.700000          	0.840000          	0.200000          	0.140000          	0.040000            	|22.140000         	23.080000         	21.080000         	21.320000         	21.120000           	|1138.000000       	1769.333333       	102.666667        	110.666667        	104.000000          	|
0_13      	1119ms            	1089ms            	295573ms          	310777ms          	280456ms            	|0.760000          	0.840000          	0.920000          	0.900000          	0.920000            	|10                	6                 	10                	10                	7                   	|1.180000          	0.620000          	0.440000          	0.720000          	0.320000            	|22.220000         	23.580000         	22.040000         	22.360000         	22.820000           	|2140.666667       	1386.000000       	534.666667        	745.333333        	560.666667          	|
0_14      	1042ms            	1023ms            	320603ms          	334532ms          	277304ms            	|0.780000          	0.840000          	0.940000          	0.940000          	0.940000            	|13                	14                	12                	9                 	14                  	|1.480000          	1.060000          	0.380000          	0.320000          	0.760000            	|23.880000         	24.260000         	21.560000         	22.400000         	21.000000           	|1996.000000       	1408.666667       	318.666667        	346.666667        	300.000000          	|
