************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    20
engine_to_start      30
steps                502
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
engine info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_no           	engine_type         	isDaxiu             	hasStarted          	due_date            	
0                   	2                   	0                   	1                   	30                  	
1                   	6                   	1                   	1                   	30                  	
2                   	9                   	0                   	1                   	30                  	
3                   	0                   	0                   	1                   	30                  	
4                   	4                   	1                   	1                   	30                  	
5                   	8                   	0                   	1                   	30                  	
6                   	9                   	1                   	1                   	30                  	
7                   	1                   	1                   	1                   	30                  	
8                   	5                   	1                   	1                   	30                  	
9                   	0                   	0                   	1                   	30                  	
10                  	7                   	0                   	1                   	30                  	
11                  	8                   	1                   	1                   	30                  	
12                  	2                   	1                   	1                   	30                  	
13                  	6                   	0                   	1                   	30                  	
14                  	6                   	1                   	1                   	30                  	
15                  	0                   	0                   	1                   	30                  	
16                  	2                   	0                   	1                   	30                  	
17                  	5                   	1                   	1                   	30                  	
18                  	5                   	1                   	1                   	30                  	
19                  	5                   	1                   	1                   	30                  	
20                  	4                   	0                   	0                   	30                  	
21                  	7                   	0                   	0                   	60                  	
22                  	5                   	1                   	0                   	60                  	
23                  	3                   	1                   	0                   	30                  	
24                  	2                   	0                   	0                   	30                  	
25                  	9                   	0                   	0                   	30                  	
26                  	4                   	0                   	0                   	30                  	
27                  	2                   	0                   	0                   	30                  	
28                  	1                   	1                   	0                   	30                  	
29                  	4                   	1                   	0                   	30                  	
30                  	1                   	0                   	0                   	60                  	
31                  	2                   	1                   	0                   	30                  	
32                  	7                   	0                   	0                   	30                  	
33                  	3                   	1                   	0                   	60                  	
34                  	6                   	1                   	0                   	60                  	
35                  	6                   	1                   	0                   	60                  	
36                  	0                   	0                   	0                   	30                  	
37                  	9                   	1                   	0                   	60                  	
38                  	2                   	1                   	0                   	30                  	
39                  	1                   	1                   	0                   	60                  	
40                  	9                   	0                   	0                   	60                  	
41                  	4                   	0                   	0                   	60                  	
42                  	9                   	0                   	0                   	60                  	
43                  	7                   	0                   	0                   	60                  	
44                  	2                   	0                   	0                   	30                  	
45                  	7                   	0                   	0                   	30                  	
46                  	3                   	1                   	0                   	60                  	
47                  	2                   	1                   	0                   	30                  	
48                  	1                   	0                   	0                   	30                  	
49                  	1                   	1                   	0                   	60                  	
************************************************************************************************************************************************************************************************************************************************************************************************************
step info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
step_no             	step_name           	engine_no           	status              	resource_occupation 	stand_by_time       	due_time            	punish_weight       	schedule_start_time 	modes               	successors          	successor_list      	
0                   	dummy_start         	-1                  	0                   	-1                  	0                   	10000               	0                   	0                   	1                   	50                  	1 11 21 31 41 51 61 71 81 91 101 111 121 131 141 151 161 171 181 191 201 211 221 231 241 251 261 271 281 291 301 311 321 331 341 351 361 371 381 391 401 411 421 431 441 451 461 471 481 491 	
1                   	buzhuang            	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	2                   	
2                   	chuanzhuang         	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	3                   	
3                   	zongzhuang          	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	4                   	
4                   	shiche              	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	10                  	1                   	5                   	
5                   	fenjie              	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	6                   	
6                   	gujian              	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	7                   	
7                   	buzhuang            	0                   	2                   	0                   	0                   	10000               	0                   	0                   	1                   	1                   	8                   	
8                   	chuanzhuang         	0                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	9                   	
9                   	zongzhuang          	0                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	10                  	
10                  	shiche              	0                   	1                   	-1                  	0                   	30                  	0.97                	0                   	10                  	1                   	501                 	
11                  	buzhuang            	1                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	12                  	
12                  	chuanzhuang         	1                   	2                   	6                   	0                   	10000               	0                   	0                   	1                   	1                   	13                  	
13                  	zongzhuang          	1                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	14                  	
14                  	shiche              	1                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	15                  	
15                  	fenjie              	1                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	16                  	
16                  	gujian              	1                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	17                  	
17                  	buzhuang            	1                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	18                  	
18                  	chuanzhuang         	1                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	19                  	
19                  	zongzhuang          	1                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	20                  	
20                  	shiche              	1                   	1                   	-1                  	0                   	30                  	0.97                	0                   	1                   	1                   	501                 	
21                  	buzhuang            	2                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	22                  	
22                  	chuanzhuang         	2                   	2                   	1                   	0                   	10000               	0                   	0                   	1                   	1                   	23                  	
23                  	zongzhuang          	2                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	24                  	
24                  	shiche              	2                   	1                   	-1                  	0                   	10000               	0                   	0                   	2                   	1                   	25                  	
25                  	fenjie              	2                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	26                  	
26                  	gujian              	2                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	27                  	
27                  	buzhuang            	2                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	28                  	
28                  	chuanzhuang         	2                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	29                  	
29                  	zongzhuang          	2                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	30                  	
30                  	shiche              	2                   	1                   	-1                  	0                   	30                  	1.47                	0                   	2                   	1                   	501                 	
31                  	buzhuang            	3                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	32                  	
32                  	chuanzhuang         	3                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	33                  	
33                  	zongzhuang          	3                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	34                  	
34                  	shiche              	3                   	3                   	-1                  	0                   	10000               	0                   	0                   	10                  	1                   	35                  	
35                  	fenjie              	3                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	36                  	
36                  	gujian              	3                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	37                  	
37                  	buzhuang            	3                   	2                   	0                   	0                   	10000               	0                   	-4                  	1                   	1                   	38                  	
38                  	chuanzhuang         	3                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	39                  	
39                  	zongzhuang          	3                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	40                  	
40                  	shiche              	3                   	1                   	-1                  	0                   	30                  	0.85                	0                   	10                  	1                   	501                 	
41                  	buzhuang            	4                   	2                   	5                   	0                   	10000               	0                   	0                   	1                   	1                   	42                  	
42                  	chuanzhuang         	4                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	43                  	
43                  	zongzhuang          	4                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	44                  	
44                  	shiche              	4                   	1                   	-1                  	0                   	10000               	0                   	0                   	7                   	1                   	45                  	
45                  	fenjie              	4                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	46                  	
46                  	gujian              	4                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	47                  	
47                  	buzhuang            	4                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	48                  	
