************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    10
engine_to_start      20
steps                302
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
engine info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_no           	engine_type         	isDaxiu             	hasStarted          	due_date            	
0                   	6                   	1                   	1                   	30                  	
1                   	2                   	0                   	1                   	30                  	
2                   	6                   	0                   	1                   	30                  	
3                   	5                   	0                   	1                   	30                  	
4                   	4                   	1                   	1                   	30                  	
5                   	6                   	1                   	1                   	30                  	
6                   	8                   	0                   	1                   	30                  	
7                   	3                   	1                   	1                   	30                  	
8                   	1                   	0                   	1                   	30                  	
9                   	5                   	0                   	1                   	30                  	
10                  	8                   	0                   	0                   	30                  	
11                  	6                   	1                   	0                   	30                  	
12                  	7                   	0                   	0                   	60                  	
13                  	6                   	0                   	0                   	30                  	
14                  	6                   	0                   	0                   	30                  	
15                  	6                   	0                   	0                   	60                  	
16                  	7                   	1                   	0                   	60                  	
17                  	3                   	0                   	0                   	60                  	
18                  	4                   	0                   	0                   	60                  	
19                  	5                   	1                   	0                   	30                  	
20                  	9                   	1                   	0                   	30                  	
21                  	2                   	0                   	0                   	30                  	
22                  	3                   	0                   	0                   	60                  	
23                  	0                   	0                   	0                   	30                  	
24                  	3                   	0                   	0                   	30                  	
25                  	1                   	1                   	0                   	60                  	
26                  	1                   	1                   	0                   	30                  	
27                  	2                   	1                   	0                   	30                  	
28                  	5                   	0                   	0                   	60                  	
29                  	1                   	0                   	0                   	60                  	
************************************************************************************************************************************************************************************************************************************************************************************************************
step info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
step_no             	step_name           	engine_no           	status              	resource_occupation 	stand_by_time       	due_time            	punish_weight       	schedule_start_time 	modes               	successors          	successor_list      	
0                   	dummy_start         	-1                  	0                   	-1                  	0                   	10000               	0                   	0                   	1                   	30                  	1 11 21 31 41 51 61 71 81 91 101 111 121 131 141 151 161 171 181 191 201 211 221 231 241 251 261 271 281 291 	
1                   	buzhuang            	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	2                   	
2                   	chuanzhuang         	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	3                   	
3                   	zongzhuang          	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	4                   	
4                   	shiche              	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	8                   	1                   	5                   	
5                   	fenjie              	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	6                   	
6                   	gujian              	0                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	7                   	
7                   	buzhuang            	0                   	2                   	5                   	0                   	10000               	0                   	-2                  	1                   	1                   	8                   	
8                   	chuanzhuang         	0                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	9                   	
9                   	zongzhuang          	0                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	10                  	
10                  	shiche              	0                   	1                   	-1                  	0                   	30                  	0.98                	0                   	8                   	1                   	301                 	
11                  	buzhuang            	1                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	12                  	
12                  	chuanzhuang         	1                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	13                  	
13                  	zongzhuang          	1                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	14                  	
14                  	shiche              	1                   	3                   	-1                  	0                   	10000               	0                   	0                   	2                   	1                   	15                  	
15                  	fenjie              	1                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	16                  	
16                  	gujian              	1                   	2                   	4                   	0                   	10000               	0                   	0                   	1                   	1                   	17                  	
17                  	buzhuang            	1                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	18                  	
18                  	chuanzhuang         	1                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	19                  	
19                  	zongzhuang          	1                   	1                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	20                  	
20                  	shiche              	1                   	1                   	-1                  	0                   	30                  	0.65                	0                   	2                   	1                   	301                 	
21                  	buzhuang            	2                   	3                   	-1                  	0                   	10000               	0                   	0                   	1                   	1                   	22                  	
